编号,武将名,姓名,无双升级后激活的属性数值,怒气
tag[string],,name[string],skill_add_value[vector<int>],nuqi_type[int]
101122,吕布,tid#lvbu,39;49;59;69;79;89;99;109;119,1
101124,赵云,tid#zhaoyun,50;60;70;80;90;100;110;120;130,1
101126,诸葛亮,tid#zhugeliang,37;47;57;67;77;87;97;107;117,1
101116,曹操,tid#caocao,50;60;70;80;90;100;110;120;130,2
101123,关羽,tid#guanyu,46;56;66;76;86;96;106;116;126,1
102146,吕玲绮,tid#lvlingqi,27;35;43;51;59;67;75;83;91,2
101133,关凤,tid#guanfeng,48;58;68;78;88;98;108;118;128,2
101131,法正,tid#fazheng,24;32;40;48;56;64;72;80;88,1
101120,司马懿,tid#simayi,35;43;51;59;67;75;83;91;99,1
101127,马超,tid#machao,48;58;68;78;88;98;108;118;128,1
101149,周泰,tid#zhoutai,49;59;69;79;89;99;109;119;129,1
101143,陆逊,tid#luxun,49;59;69;79;89;99;109;119;129,1
101109,张辽,tid#zhangliao,43;53;63;73;83;93;103;113;123,1
101104,孙策,tid#sunce,49;59;69;79;89;99;109;119;129,1